koreanHanja,pronounce,japaneseNameHanja,example
金,kanau,金海, 김해 김씨
金,kanau,海金, 김해 김씨
金,kanayama,金山, 김해 김씨
金,kanemoto,金本, 김해 김씨
金,kaneda,金田, 김해 김씨
金,kanemura,金村, 김해 김씨
金,kanoura,金浦, 김해 김씨
金,mikane,三金, 김해 김씨
金,yoshikane,慶金, 경주 김씨
金,kanamitsu,金光, 광산 김씨
光,mitsumoto,光本, 광산 김씨
金,kanaye,金江, 강릉 김씨
鷄,kerin,鷄林, 경주 김씨
李,ri-noie,李家, 전주 이씨
李,ribayashi,李林, 전주 이씨
李,rimoto,李本, 전주 이씨
李,rihara,李原, 전주 이씨
李,ri-yama,李山, 전주 이씨
李,ri-da,李田, 전주 이씨
木,kiko,木子, 전주 이씨
國,kuni-moto,國本, 전주 이씨
宮,miyamoto,宮本, 전주 이씨
朝,asamoto,朝本, 전주 이씨
岩,iwa-moto,岩本, 경주 이씨
牧,maki-yama,牧山, 한산 이씨
朴,boku-ya,朴家, 밀양 박씨
朴,boku-moto,朴本, 밀양 박씨
朴,boku-hara,朴原, 밀양 박씨
新,arai,新井, 밀양 박씨
村,murai,村井, 밀양 박씨
松,matsui,松井, 밀양 박씨
木,kinoshita,木下, 밀양 박씨
木,ki-yama,木山, 밀양 박씨
木,ki-moto,木本, 밀양 박씨
木,ki-mura,木村, 밀양 박씨
竹,take-yama,竹山, 밀양 박씨
密,mitsu-yama,密山, 밀양 박씨
崔,saika,崔家, 경주 최씨
崔,saimoto,崔本, 경주 최씨
崔,sa-yama,崔山, 경주 최씨
佐,sai,佐井, 경주 최씨
高,taka-yama,高山, 경주 최씨
佳,kaya-yama,佳山, 경주 최씨
東,toya-yama,東山, 경주 최씨
大,oya-yama,大山, 경주 최씨
慶,yoshi-yama,慶山, 경주 최씨
山,yamada,山田, 경주 최씨
山,yama-guchi,山內, 경주 최씨
山,yama-naka,山中, 경주 최씨
津,tsu-yama,津山, 탐진 최씨
鄭,tei-ya,鄭家, 경주 정씨
慶,yoshi-moto,慶本, 경주 정씨
東,higashi-moto,東本, 동래 정씨
東,higashi-yama,東山, 동래 정씨
智,chi-yama,智山, 동래 정씨
三,mitsu-yama,三山, 동래 정씨
秋,aki-yama,秋山, 동래 정씨
大,oka-wa,大川, 동래 정씨
河,kawa-higashi,河東, 하동 정씨
趙,kuni-kawa,趙川, 풍양 조씨
白,shirakawa,白川, 풍양 조씨
豊,toyo-hara,豊原, 풍양 조씨
豊,toyo-kawa,豊川, 풍양 조씨
高,taka-moto,高本, 풍양 조씨
中,naka-yama,中山, 풍양 조씨
山,yama-moto,山本, 풍양 조씨
姜,oka,岡, 진주 강씨
神,kami-moto,神本, 진주 강씨
神,kami-yama,神山, 진주 강씨
神,shin-no,神農, 진주 강씨
晉,shin-yama,晉山, 진주 강씨
神,kanda,神田, 진주 강씨
張,harima,張間, 장씨
張,harimoto,張本, 장씨
張,harimitsu,張光, 장씨
張,harino,張野, 장씨
長,hasagawa,長谷川, 장씨
長,nagatani,長谷, 장씨
長,naga-yama,長山, 장씨
長,naga-no,長野, 장씨
弓,yumi-hari,弓長, 장씨
玉,tama-yama,玉山, 장씨
韓,mimoto,箕本, 한씨
韓,mino-hara,箕原, 한씨
淸,kiyo-moto,淸本, 한씨
淸,kiyo-yama,淸山, 한씨
淸,kiyo-hara,淸原, 한씨
松,matsu-hara,松原, 한씨
井,ino-ue,井上, 한씨
尹,hira-numa,平沼, 파평 윤씨
尹,hira-yama,平山, 파평 윤씨
伊,ito,伊藤, 파평 윤씨
坡,ha-bira,坡平, 파평 윤씨
茂,shige-matsu,茂松, 파평 윤씨
松,matsu-moto,松本, 파평 윤씨
吳,kure-moto,吳本, 오씨
吳,kure-yama,吳山, 오씨
林,hayashi,林, 임씨
申,saru-moto,申本, 신씨
申,saru-yama,申山, 신씨
平,hira-yama,平山, 신씨
平,hira-ta,平田, 신씨
高,taka-da,高田, 신씨
安,yasu-moto,安本, 안씨
安,yasu-ki,安木, 안씨
安,yasu-da,安田, 안씨
安,ando,安東, 안씨
安,yasu-kuni,安邦, 안씨
宋,so-moto,宋本, 송씨
山,yama-moto,山本, 송씨
宗,muna-moto,宗本, 송씨
木,ki-yama,木山, 송씨
木,ki-gawa,木川, 송씨
野,no-yama,野山, 송씨
徐,sho-tachi,徐達, 달성 서씨
達,tatsu-shiro,達城, 달성 서씨
大,oya-yama,大山, 달성 서씨
大,oga-wa,大川, 달성 서씨
義,yoshi-moto,義本, 달성 서씨
黃,ki-hara,黃原, 황씨
黃,ki-ta,黃田, 황씨
黃,ki-moto,黃本, 황씨
平,hira-moto,平本, 황씨
平,hira-yama,平山, 황씨
廣,hiro-kawa,廣川, 황씨
洪,hiro-moto,洪本, 홍씨
洪,hiro-kawa,洪川, 홍씨
南,nan-yo,南陽, 홍씨
南,mina-mi-moto,南本, 홍씨
唐,toko,唐洪, 홍씨
永,naga-yama,永山, 홍씨
全,zen-moto,全本, 전씨
全,zen-i,全井, 전씨
松,matsu-yama,松山, 전씨
松,matsu-hara,松原, 전씨
山,yama-da,山田, 전씨
權,ando,安東, 안동 권씨
權,yasu-da,安田, 안동 권씨
權,kon-moto,權本, 안동 권씨
權,kon-do,權藤, 안동 권씨
吉,yoshi-moto,吉本, 안동 권씨
